Name,Season,Team,Shoots,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes,PGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,SPER,TOIGP,FOW
William Karlsson,20192020,VGK,L,C,63,15,31,46,11,16,"0,73",11,33,2,8,2,5,0,1,138,"10,9",18:52,"51,9"
Dominik Kubalik,20192020,CHI,L,L,68,30,16,46,2,16,"0,68",26,38,4,8,0,0,0,3,157,"19,1",14:22,"31,6"
Kyle Palmieri,20192020,NJD,R,R,65,25,20,45,−4,41,"0,69",14,27,11,18,0,0,1,3,155,"16,1",17:07,"32,4"
Alex DeBrincat,20192020,CHI,R,L,70,18,27,45,−10,15,"0,64",8,29,10,16,0,0,1,4,207,"8,7",17:30,35
Keith Yandle,20192020,FLA,L,D,69,5,40,45,0,20,"0,65",3,24,2,21,0,0,0,0,129,"3,9",19:42,0
Brent Burns,20192020,SJS,R,D,70,12,33,45,−22,34,"0,64",7,27,5,17,0,1,1,1,225,"5,3",25:25,--
Neal Pionk,20192020,WPG,R,D,71,6,39,45,10,32,"0,63",3,20,3,25,0,0,0,1,177,"3,4",23:23,--
Mikael Backlund,20192020,CGY,L,C,70,16,29,45,3,26,"0,64",10,32,3,10,3,3,0,3,157,"10,2",17:57,"47,3"
Nick Schmaltz,20192020,ARI,R,C,70,11,34,45,3,20,"0,64",9,32,2,13,0,0,0,2,95,"11,6",15:32,"42,6"
Andre Burakovsky,20192020,COL,L,L,58,20,25,45,11,22,"0,78",18,34,2,11,0,0,1,6,103,"19,4",15:12,"35,7"
Chris Kreider,20192020,NYR,L,L,63,24,21,45,13,58,"0,71",15,32,9,13,0,0,0,5,156,"15,4",17:15,"43,1"
Brock Boeser,20192020,VAN,R,R,57,16,29,45,4,14,"0,79",11,31,5,14,0,0,0,3,169,"9,5",18:34,"36,7"
